show_id,type,genre
s3009,TV Show,Crime TV Shows
s3009,TV Show,International TV Shows
s3009,TV Show,TV Dramas
s3010,Movie,Action & Adventure
s3010,Movie,Dramas
s3010,Movie,International Movies
s3011,TV Show,TV Comedies
s3011,TV Show,TV Dramas
s3011,TV Show,Teen TV Shows
s3012,TV Show,Docuseries
s3012,TV Show,Science & Nature TV
s3013,Movie,Action & Adventure
s3014,TV Show,Crime TV Shows
s3014,TV Show,Docuseries
s3014,TV Show,International TV Shows
s3015,TV Show,British TV Shows
s3015,TV Show,Docuseries
s3015,TV Show,International TV Shows
s3016,TV Show,Crime TV Shows
s3016,TV Show,Docuseries
s3017,TV Show,Docuseries
s3017,TV Show,International TV Shows
s3018,TV Show,British TV Shows
s3018,TV Show,Crime TV Shows
s3018,TV Show,Docuseries
s3019,TV Show,British TV Shows
s3019,TV Show,Crime TV Shows
s3019,TV Show,Docuseries
s3020,Movie,Horror Movies
s3020,Movie,Thrillers
s3021,TV Show,Crime TV Shows
s3021,TV Show,Kids' TV
s3021,TV Show,TV Comedies
s3022,TV Show,Reality TV
s3023,TV Show,International TV Shows
s3023,TV Show,Reality TV
s3024,Movie,Comedies
s3024,Movie,Dramas
s3024,Movie,International Movies
s3025,TV Show,Crime TV Shows
s3025,TV Show,TV Dramas
s3026,TV Show,British TV Shows
s3026,TV Show,International TV Shows
s3026,TV Show,Reality TV
s3027,Movie,Comedies
s3028,Movie,Dramas
s3028,Movie,International Movies
s3028,Movie,Thrillers
s3029,TV Show,International TV Shows
